OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2024-05-09T08:48:19.938816,15.51043222,.0003466,51.6381,147.8590,150.4670,338.5502,0,U,25544,999,45252,.27777E-3,.16024E-3,0
CSS (TIANHE),2021-035A,2024-05-09T00:08:21.259968,15.63450567,.0003879,41.4681,322.4705,310.0852,49.9647,0,U,48274,999,17296,.47178E-3,.44782E-3,0
ISS (NAUKA),2021-066A,2024-05-08T19:52:52.426848,15.51025615,.0003349,51.6355,150.5366,149.2285,210.8902,0,U,49044,999,15817,.28217E-3,.16275E-3,0
FREGAT DEB,2011-037PF,2024-05-09T01:52:27.087456,12.14183725,.0970755,51.6682,100.0873,38.9529,327.7334,0,U,49271,999,13044,.53806E-1,.22918E-3,0
CSS (WENTIAN),2022-085A,2024-05-08T19:32:24.132480,15.63430646,.0003878,41.4681,323.6416,309.1053,50.9442,0,U,53239,999,10185,.44581E-3,.4225E-3,0
CSS (MENGTIAN),2022-143A,2024-05-08T19:32:24.132480,15.63430646,.0003878,41.4681,323.6416,309.1053,50.9442,0,U,54216,999,8633,.44581E-3,.4225E-3,0
ISS DEB [SPX-28 IPA FSE],1998-067VP,2024-05-08T15:57:19.131264,16.01941673,.0004565,51.6185,113.9060,57.1524,302.9926,0,U,57212,999,4985,.725E-3,.424541E-2,.90482E-4
ISS DEB,1998-067WC,2024-05-08T12:13:05.124576,15.79259615,.0006542,51.6266,136.3716,42.3437,317.8068,0,U,58229,999,2938,.87658E-3,.163586E-2,0
PROGRESS-MS 25,2023-184A,2024-05-08T19:52:52.426848,15.51025615,.0003349,51.6355,150.5366,149.2285,210.8902,0,U,58460,999,2447,.28217E-3,.16275E-3,0
BEAK,1998-067WD,2024-05-09T03:41:34.279008,15.76580994,.0005919,51.6309,136.9549,51.3320,308.8208,0,U,58612,999,2238,.95703E-3,.158289E-2,0
TIANZHOU-7,2024-013A,2024-05-08T19:32:24.132480,15.63430646,.0003878,41.4681,323.6416,309.1053,50.9442,0,U,58811,999,17242,.44581E-3,.4225E-3,0
CYGNUS NG-20,2024-021A,2024-05-08T19:52:52.426848,15.51025615,.0003349,51.6355,150.5366,149.2285,210.8902,0,U,58898,999,1456,.28217E-3,.16275E-3,0
PROGRESS-MS 26,2024-029A,2024-05-08T19:52:52.426848,15.51025615,.0003349,51.6355,150.5366,149.2285,210.8902,0,U,58961,999,1262,.28217E-3,.16275E-3,0
CREW DRAGON 8,2024-042A,2024-05-08T19:52:52.426848,15.51025615,.0003349,51.6355,150.5366,149.2285,210.8902,0,U,59097,999,983,.28217E-3,.16275E-3,0
SOYUZ-MS 25,2024-055A,2024-05-08T19:52:52.426848,15.51025615,.0003349,51.6355,150.5366,149.2285,210.8902,0,U,59294,999,637,.28217E-3,.16275E-3,0
MICROORBITER-1,1998-067WF,2024-05-09T05:26:00.617856,15.56086321,.000293,51.6338,147.9454,101.0748,259.0573,0,U,59483,999,439,.11224E-2,.80169E-3,0
CURTIS,1998-067WG,2024-05-08T23:26:48.164640,15.55130715,.000163,51.6338,149.2796,101.4702,258.6472,0,U,59507,999,436,.96605E-3,.66412E-3,0
KASHIWA,1998-067WH,2024-05-08T10:52:35.969376,15.56340642,.0002884,51.6337,151.7802,96.6079,263.5241,0,U,59508,999,428,.12306E-2,.88878E-3,0
1998-067WJ,1998-067WJ,2024-05-08T23:50:31.532064,15.54210810,.0004934,51.6352,149.3927,75.1638,284.9899,0,U,59559,999,323,.95997E-3,.63795E-3,0
1998-067WK,1998-067WK,2024-05-08T23:33:34.532352,15.55918508,.0007105,51.6349,149.3135,85.4197,274.7606,0,U,59560,999,315,.14945E-2,.106686E-2,0
1998-067WL,1998-067WL,2024-05-08T08:42:20.237472,15.52592728,.000278,51.6357,152.6792,98.5651,261.5654,0,U,59561,999,310,.51054E-3,.31623E-3,0
BURSTCUBE,1998-067WM,2024-05-08T23:52:55.364736,15.54147491,.0002632,51.6351,149.4024,117.5195,242.6063,0,U,59562,999,321,.95233E-3,.63112E-3,0
1998-067WN,1998-067WN,2024-05-08T23:58:11.728704,15.53686017,.0003114,51.6355,149.4273,129.0540,231.0728,0,U,59563,999,320,.76265E-3,.49516E-3,0
SHENZHOU-18 (SZ-18),2024-078A,2024-05-08T13:24:27.582912,15.63411877,.0003902,41.4681,325.2027,308.5199,51.5291,0,U,59591,999,17289,.4696E-3,.44503E-3,0
1998-067WP,1998-067WP,2024-05-08T12:56:24.246528,15.54734172,.0005166,51.6350,151.6080,73.0758,287.0799,0,U,59596,999,317,.11065E-2,.75147E-3,0
1998-067WQ,1998-067WQ,2024-05-08T14:28:37.834752,15.54780191,.0005199,51.6358,151.2866,73.4697,286.6865,0,U,59597,999,315,.11126E-2,.75697E-3,0
SZ-17 MODULE,2023-164C,2024-05-08T19:41:15.555552,15.62250315,.0005736,41.4784,323.6878,330.8958,29.1561,0,U,59624,999,137,.39322E-3,.35514E-3,0
